Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Name.creator,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Coverage.geographic,Name.subject,Name.contributor,Subject,Rights.countryCreation,Rights.rightsHolderContact,Language,AltTitle.uniform,Name.architect,Name.photographer,AltTitle.other,Name.repository,Relation.isPartOf,Format.dimensions,Alt ID.local,Rights.statementLocal,Description.note,Title,Date.creation,Format.extent,Date.normalized,Format.medium,Publisher.placeOfOrigin,Publisher.publisherName,Description.abstract,Opac url,Finding Aid URL
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz4q1,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz4q1_1268852_master.tif,,,,,,still image,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",9.5 x 12 in.,uclamss_1179_f0934_010,,"""3"" floorplan, scale 39.37"" = 1 M","VDL Research House, floor plan of section 3, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz4rj,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz4rj_1268879_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng|~|ger,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",10 x 12 in.,uclamss_1179_f0934_011,,"VDL Research House, ""3"" floorplan, scale 39.37"" = 1 M, section 3 showing sample display and office and bachelor apartment with complete kitchenette and 2 baths. Text also in german.","VDL Research House, detailed floor plan of section 3, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz90k,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz90k_1269237_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",10 x 12 in.,uclamss_1179_f0934_012,,,"VDL Research House, floor plan of section 4, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz913,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz913_1269240_master.tif,,,,,,still image,,,private,,Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",13 x 12 in.,uclamss_1179_f0934_013,,,"VDL Research House, ink drawing of drawers, Los Angeles, California, 1932",1932,1 drawing,1932,pen and ink on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz92m,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz92m_1269243_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",14 x 15.5 in.,uclamss_1179_f0934_014,,,"VDL Research House, lower floor and landscape display of sections 1-12, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz934,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz934_1269246_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",14 x 15.5 in.,uclamss_1179_f0934_015,,,"VDL Research House, upper floor and decks display of sections 13-19, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz94n,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz94n_1269249_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_f0934_016,,"Floor and landscape display with living room, private room #1, kitchen, dressing, bath, private room #2, carport, incinerator, child play yard, paved area.","VDL Research House, floor and landscape display, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz955,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz955_1269252_master.tif,,,,,,still image,,,private,,Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",9.5 x 12.5 in.,uclamss_1179_f0934_017,,Item contains description.,"VDL Research House, ink drawing of drawers, Los Angeles, California, 1932",1932,1 drawing,1932,pen and ink on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz96p,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz96p_1269255_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",9.5 x 12 in.,uclamss_1179_f0934_018,,,"VDL Research House, floor plan of section 4, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz976,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz976_1269258_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",8.5 x 8.5 in.,uclamss_1179_f0934_019,,,"VDL Research House, general floor plan of sections 1, 2, 3, and 4, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
