Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,viewingHint,Delete in Title,Subject topic,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.subject,Subject,Subject.conceptTopic,Language,Rights.permissionNote,Name.creator,Rights.publicationNote,Text direction,IIIF Range,Name.repository,Title,Date.creation,Description.note,Summary,Description.caption,Date.normalized,Description.abstract,Date.created,AltTitle.other,Opac url,Finding Aid URL
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015sr8v,ark:/21198/zz0015sr7b,2,Completed,Work,,1,,,,,,,text,,copyrighted,Y,unpublished,Los Angeles (Calif.),,,Southern California Women for Understanding,Board of Directors Meetings [SCWU],,eng,,Southern California Women for Understanding,,,,,"Steering Committee Meeting Minutes - June 14, 1976","June 14, 1976",,,,1976-06-14,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015srcd,ark:/21198/zz0015sr7b,2,Completed,Work,,2,,,,,,,text,,copyrighted,Y,unpublished,Los Angeles (Calif.),,,Southern California Women for Understanding,Board of Directors Meetings [SCWU],,eng,,Southern California Women for Understanding,,,,,"Steering Committee Meeting Minutes - August 17, 1976","August 17, 1976",,,,1976-08-17,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015srdx,ark:/21198/zz0015sr7b,2,Completed,Work,,3,,,,,,,text,,copyrighted,unknown,unpublished,Los Angeles (Calif.),,,Southern California Women for Understanding,Board of Directors Meetings [SCWU],,eng,,Southern California Women for Understanding,,,,,"Steering Committee Meeting Minutes - September 1, 1976","September 1, 1976",Rights.generalNote: Item contains personal information (a number of members' personal address for meeting places).,,,1976-09-01,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015srff,ark:/21198/zz0015sr7b,2,Completed,Work,,6,,,,,,,text,,copyrighted,unknown,unpublished,Los Angeles (Calif.),,,Southern California Women for Understanding,Board of Directors Meetings [SCWU],,eng,,Southern California Women for Understanding,,,,,"Steering Committee Meeting Minutes - October 14, 1976","October 14, 1976",Rights.generalNote: Item contains personal information (personal address for Barbara Colby?).,,,1976-10-14,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015srgz,ark:/21198/zz0015sr7b,2,Completed,Work,,8,,,,,,,text,,copyrighted,Y,unpublished,Los Angeles (Calif.),,,Southern California Women for Understanding,Board of Directors Meetings [SCWU],,eng,,Southern California Women for Understanding,,,,,"Joint Committee Meeting Minutes - November 4, 1976","November 4, 1976",,,,1976-11-04,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015srhg,ark:/21198/zz0015sr7b,2,Completed,Work,,10,,,,,,,text,,copyrighted,Y,unpublished,Los Angeles (Calif.),,,Southern California Women for Understanding,Board of Directors Meetings [SCWU],,eng,,Southern California Women for Understanding,,,,,"Steering Committee Meeting Minutes - December 2, 1976","December 2, 1976",,,,1976-12-02,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015srj0,ark:/21198/zz0015sr7b,2,Completed,Work,,12,,,,,,,text,,copyrighted,unknown,unpublished,Los Angeles (Calif.),,,Southern California Women for Understanding,Board of Directors Meetings [SCWU],,eng,,Southern California Women for Understanding,,,,,"Steering Committee Meeting Minutes - January 6, 1977","January 6, 1977",Rights.generalNote: Item contains personal information (personal address for Barbara Colby?).,,,1977-01-06,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015ssrk,ark:/21198/zz0015sr7b,2,Completed,Work,,14,,,,,,,text,,copyrighted,Y,unpublished,Los Angeles (Calif.),,,Southern California Women for Understanding,Board of Directors Meetings [SCWU],,eng,,Southern California Women for Understanding,,,,,"Steering Committee Meeting Minutes - February 3, 1977","February 3, 1977",,,,1977-02-03,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015sss3,ark:/21198/zz0015sr7b,2,Completed,Work,,16,,,,,,,text,,copyrighted,Y,unpublished,Los Angeles (Calif.),,,Southern California Women for Understanding,Board of Directors Meetings [SCWU],,eng,,Southern California Women for Understanding,,,,,"Steering Committee Meeting Minutes - March 28, 1977","March 28, 1977",,,,1977-03-28,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015sstm,ark:/21198/zz0015sr7b,2,Completed,Work,,17,,,,,,,text,,copyrighted,Y,unpublished,Los Angeles (Calif.),,,Southern California Women for Understanding,Board of Directors Meetings [SCWU],,eng,,Southern California Women for Understanding,,,,,"Steering Committee Meeting Minutes - April 14, 1977","April 14, 1977",,,,1977-04-14,,,,,
