Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,viewingHint,Text direction,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Subject,Type.genre,Language,Name.editor,Name.engraver,Title,Relation.rectoVerso,Relation.pageNumber,Description.note,Source,Relation.isPartOf,Alt ID.local,Date.normalized,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Date.publication,Format.dimensions,Description.tableOfContents,Alt ID.oclc,AltTitle.uniform,AltTitle.inscribed,Relation.hasPart,Name.printer,Name.illustrator,Rights.copyrightStatus
Picart (Bernard) Collection,ark:/21198/zz001hg0mh,ark:/21198/zz001hg0k0,2,Completed,ChildWork,picart/masters/21198-zz001hg0mh-1-master.tif,,,1,,,text,,,,,,cover,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001hg0n1,ark:/21198/zz001hg0k0,2,Completed,ChildWork,picart/masters/21198-zz001hg0n1-1-master.tif,,,2,,,text,,,,,,inside front cover,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001hg0pj,ark:/21198/zz001hg0k0,2,Completed,ChildWork,picart/masters/21198-zz001hg0pj-1-master.tif,,,3,,,text,,,,,,blank page 01,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001hg0q2,ark:/21198/zz001hg0k0,2,Completed,ChildWork,picart/masters/21198-zz001hg0q2-1-master.tif,,,4,,,text,,,,,,blank page 02,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001hg0rk,ark:/21198/zz001hg0k0,2,Completed,ChildWork,picart/masters/21198-zz001hg0rk-1-master.tif,,,5,,,text,,,,,,blank page 03,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001hg0s3,ark:/21198/zz001hg0k0,2,Completed,ChildWork,picart/masters/21198-zz001hg0s3-1-master.tif,,,6,,,text,,,,,,blank page 04,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001hg0tm,ark:/21198/zz001hg0k0,2,Completed,ChildWork,picart/masters/21198-zz001hg0tm-1-master.tif,,,7,,,text,,,,,,half title page,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001hg0v4,ark:/21198/zz001hg0k0,2,Completed,ChildWork,picart/masters/21198-zz001hg0v4-1-master.tif,,,8,,,text,,,,,,statement of the title printing,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001hg0wn,ark:/21198/zz001hg0k0,2,Completed,ChildWork,picart/masters/21198-zz001hg0wn-1-master.tif,,,9,,,still image,,,,,,frontispiece,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001hg0x5,ark:/21198/zz001hg0k0,2,Completed,ChildWork,picart/masters/21198-zz001hg0x5-1-master.tif,,,10,,,text,,,,,,frontispiece verso,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001hg0zp,ark:/21198/zz001hg0k0,2,Completed,ChildWork,picart/masters/21198-zz001hg0zp-1-master.tif,,,11,,,text,,,,,,title page,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001hg10p,ark:/21198/zz001hg0k0,2,Completed,ChildWork,picart/masters/21198-zz001hg10p-1-master.tif,,,12,,,text,,,,,,title page verso,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001hg116,ark:/21198/zz001hg0k0,2,Completed,ChildWork,picart/masters/21198-zz001hg116-1-master.tif,,,13,,,text|~|still image,,,,,,attribution page,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001hg12q,ark:/21198/zz001hg0k0,2,Completed,ChildWork,picart/masters/21198-zz001hg12q-1-master.tif,,,14,,,text,,,,,,attribution page verso,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001hg137,ark:/21198/zz001hg0k0,2,Completed,ChildWork,picart/masters/21198-zz001hg137-1-master.tif,,,15,,,text,,,,,,general preface 01,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001hg14r,ark:/21198/zz001hg0k0,2,Completed,ChildWork,picart/masters/21198-zz001hg14r-1-master.tif,,,16,,,text,,,,,,general preface 02,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001hg158,ark:/21198/zz001hg0k0,2,Completed,ChildWork,picart/masters/21198-zz001hg158-1-master.tif,,,17,,,text,,,,,,general preface 03,r,,,,,,,,,,,,,,,,,,,
