File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Text direction,Parent ARK,Item ARK,Object Type,Rights.statementLocal
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_001.tif,1,,Front cover,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/sw43zc5x,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_002.tif,2,,Page spread 1,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/h008p740,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_003.tif,3,,Page spread 2,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/hq11sf52,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_004.tif,4,,Page spread 3,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/pp08t512,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_005.tif,5,,Page spread 4,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/r561km34,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_006.tif,6,,Page spread 5,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/m130cp0d,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_007.tif,7,,Page spread 6,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/t782tc9s,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_008.tif,8,,Page spread 7,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/sp936f14,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_009.tif,9,,Page spread 8,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/sm13n143,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_010.tif,10,,Page spread 9,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/cp48h463,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_011.tif,11,,Page spread 10,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/nr369p11,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_012.tif,12,,Page spread 11,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/rr78jz2d,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_013.tif,13,,Page spread 12,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/dx14801w,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_014.tif,14,,Page spread 13,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/zb31w08j,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_015.tif,15,,Page spread 14,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/zq12hq98,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_016.tif,16,,Page spread 15,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/5c072v0v,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_017.tif,17,,Page spread 16,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/rf63pv27,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_018.tif,18,,Page spread 17,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/z361dk5q,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_019.tif,19,,Page spread 18,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/k366wj5c,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_020.tif,20,,Page spread 19,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/m8574s4q,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_021.tif,21,,Page spread 20,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/kw38b18z,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A11_bib1724900_vol02/uclaeal_wahon_A11_bib1724900_vol02_022.tif,22,,Page spread 21,,,,ark:/21198/z1wt08cg,ark:/21198/z1wt08cg/b6006w3s,Page,
