Object Type,Title,Local identifier,Item ARK,Parent ARK,File Name,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Type.typeOfResource,Genre,Language,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Statement of Responsibility,Rights.copyrightStatus,Rights.rightsHolderContact,Subject,Subject geographic,Subject temporal,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Work,Ramakatane archive 1,A1_Ramakatane_01_01,ark:/21198/z18s6g3q,ark:/21198/z12r5hwv|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a1_0001_001.tif,,Ramakatane Archive (Lesotho National Museum),"Young man in jeans and sneakers with hand on his face and sitting on stool with serious look, photographed in Mr. M.T. Ramakatane's City Centre Studio",1968,1968,,,,6 x 6 cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s6g3q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18s6g3q/manifest
Work,Ramakatane archive 10,A1_Ramakatane_01_12,ark:/21198/z1418pb8,ark:/21198/z12r5hwv|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a1_0001_012.tif,,Ramakatane Archive (Lesotho National Museum),"Young woman in sunglasses posing on a straw mat, moseme, wearing a mokorotlo and socks in sandals, photographed in Mr. M.T. Ramakatane's City Centre Studio",1968,1968,,,,6 x 6 cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1418pb8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1418pb8/manifest
Work,Ramakatane archive 100,A1_Ramakatane_26_13,ark:/21198/z1gt7dgd,ark:/21198/z12r5hwv|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a1_0026_013.tif,,Ramakatane Archive (Lesotho National Museum),"Man seated in golf hat and suit and tie, photographed in Mr. M.T. Ramakatane's City Centre Studio",1968,1968,,,,6 x 6 cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt7dgd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gt7dgd/manifest
Work,Ramakatane archive 1000,A8_Ramakatane_03_12,ark:/21198/z15734hc,ark:/21198/z12r5hwv|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a8_0003_012.tif,,Ramakatane Archive (Lesotho National Museum),"Young woman in a frilled blouse with a collar and dangling earrings seated with her arms folded and facing the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",November - December 1970,1970-11/1970-12,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15734hc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15734hc/manifest
Work,Ramakatane archive 1001,A8_Ramakatane_04_03,ark:/21198/z11g2cp9,ark:/21198/z12r5hwv|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a8_0004_003.tif,,Ramakatane Archive (Lesotho National Museum),"Man wearing in a cardigan under his blazer standing next to folding gate with a hand tucked into his pocket, photographed in Mr. M.T. Ramakatane's City Centre Studio",November - December 1970,1970-11/1970-12,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2cp9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11g2cp9/manifest
Work,Ramakatane archive 1002,A8_Ramakatane_04_07,ark:/21198/z1wq1w5k,ark:/21198/z12r5hwv|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a8_0004_007.tif,,Ramakatane Archive (Lesotho National Museum),"Bespectacled man dressed in a suit with a spectacles case tucked into his breast pocket standing with a rolled up magazine in hand and his other hand tucked into his pocket, photographed in Mr. M.T. Ramakatane's City Centre Studio",November - December 1970,1970-11/1970-12,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1w5k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wq1w5k/manifest
Work,Ramakatane archive 1003,A8_Ramakatane_04_08,ark:/21198/z1rz14f7,ark:/21198/z12r5hwv|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a8_0004_008.tif,,Ramakatane Archive (Lesotho National Museum),"Woman with cornrows dressed in a turtleneck sweater and pleated skirt seated with her legs crossed and a her hand placed on top of radiogram next to her, photographed in Mr. M.T. Ramakatane's City Centre Studio",November - December 1970,1970-11/1970-12,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz14f7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rz14f7/manifest
Work,Ramakatane archive 1004,A8_Ramakatane_05_11,ark:/21198/z1n60ct5,ark:/21198/z12r5hwv|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a8_0005_011.tif,,Ramakatane Archive (Lesotho National Museum),"Man in a battersby and formal clothes leaning against a car with his foot on the pavement with a trophy hanging out from the window in front of him, photographed on location",November - December 1970,1970-11/1970-12,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n60ct5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n60ct5/manifest
Work,Ramakatane archive 1005,A8_Ramakatane_05_12,ark:/21198/z1hh8bfq,ark:/21198/z12r5hwv|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a8_0005_012.tif,,Ramakatane Archive (Lesotho National Museum),"Close up of Man in a battersby and formal clothes leaning against a car next to a man seated in the car holding out a trophy from the window, photographed on location",November - December 1970,1970-11/1970-12,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh8bfq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hh8bfq/manifest
Work,Ramakatane archive 1006,A8_Ramakatane_06_03,ark:/21198/z1cr7ktb,ark:/21198/z12r5hwv|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a8_0006_003.tif,,Ramakatane Archive (Lesotho National Museum),"Seated man in formal clothes and spectacles giving gesture, photographed in Mr. M.T. Ramakatane's City Centre Studio",November - December 1970,1970-11/1970-12,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr7ktb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cr7ktb/manifest
