"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Rights.copyrightStatus","Rights.publicationStatus","Language","Type.typeOfResource","Type.genre","Subject.conceptTopic","Subject geographic","Name.creator","Name.repository","Note","Thumbnail","Title","Alt ID.local","Date.creation","Date.normalized","Description.fundingNote","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Description.note","Coverage.geographic","AltTitle.translated","AltTitle.descriptive","Alt ID.lccn","Alt ID.oclc","Alt ID.url","IIIF Manifest URL"
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hc87q","ark:/21198/zz002hc63p","2","Completed","Work","","","","","","","eng","cartographic","map|~|Topographic maps.","China--Maps","","United States. Army Map Service.","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hc8cs","China, 1:250,000","","1954-","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","maps. col. 47 x 66 cm. or smaller.","dcu|~|Washington","Issued in quadrangles 1° of latitude by 1 1/2 - 2° of longitude.|~|Each sheet includes ""Glossary"" and ""Location diagram"" partly on versos.|~|""Transverse Mercator projection.""|~|Some sheets have city maps on versos.|~|""Names romanized in accordance with the Modified Wade-Giles system."" Many names printed also as Chinese ideographs. Some sheets have legend in English and Chinese.|~|Also available online.|~|Coverage includes Tibet and Sinkiang; Mongolia, Manchuria and Formosa are convered by separate sets.|~|Scale 1:250,000.|~|Relief represented by contours.|~|Accompanied by index map on sheet 27 x 54 cm.","China","","Series L500","map56000431","","https://arcg.is/LH9rf","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc87q/manifest"
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hc887","ark:/21198/zz002hc63p","1","In progress","Work","","","","","","","eng","cartographic","map|~|Topographic maps.","Manchuria (China)--Maps","","United States. Army Map Service.","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdwpk","Manchuria 1:250,000","","1945-","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","col. maps. 45 x 35 cm.","dcu|~|Washington","Complete in about 185 sheets. Set includes various issues of some sheets.|~|Four classes of roads or trails and five classes of railroads are shown.|~|Scale 1:250,000.|~|Issued in 1° quadrangles numbered according to the system used for the International 1/m map of the world.|~|Includes ""Glossary.""|~|""Polyconic projection.""|~|Co-ordinated for use with the following sets covering adjoining areas: China proper, N.E. 1:250,000 (A.M.S. L531) Korea 1:250,000 (A.M.S. L551) and Inner Mongolia 1:250,000 (A.M.S. L521).|~|""Contour interval 100 meters with auxiliary contours at 25 meter and 50 meter intervals.""|~|Marginal maps: Index to adjoining sheets.--Coverage diagram.--Index to boundaries.|~|Military grid.|~|""Russian place names transliterated according to the P.C.G.N. (1942) system ... Chinese place names transcribed according to the modified Wade-Giles system.""","Manchuria (China)","","Series L541","map48000239","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc887/manifest"
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hdppp","ark:/21198/zz002hc63p","2","Completed","Work","","","","","","","eng","cartographic","map|~|Topographic maps.","","","United States. Army Map Service.","","northernmost:N0430000|~|southernmost:N0340000|~|easternmost:E1310000|~|westernmost:E1240000","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpq6","Korea 1:250,000","","1944-","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","Army Map Service","maps : col. ; 45 x 37 cm.","dcu|~|Washington, D.C","Relief represented by contours.|~|Military grid.|~|""Contour interval 100 meters, relief partially shown by form lines."" Some auxillary contours at 50 meters.|~|Index to place names on these maps issued by Army Map Service under title: Gazetteer to maps of Korea.|~|""Korean place names are transcribed according to the McCune-Reischauer system; Japanese forms of Korean names ... transcribed according to the modified Hepburn (Romaji) system.""|~|Two types of internal boundaries, five classes of roads or trails, and four classes of railroads are shown.|~|Complete in 41 sheets? Set includes various issues of some sheets. First edition sheets are numbered consecutively; later editions are numbered according to the system used for the International 1/m map of the world.|~|Marginal diagrams: Index to adjoining sheets.--Index to boundaries.--Coverage diagram.","Korea|~|250000","","[Series] L551","map48000238","","https://arcg.is/LH9rf","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdppp/manifest"
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hdskk","ark:/21198/zz002hc63p","10","Completed with minimal metadata","Work","","411","","","pd_usfed","","eng","cartographic","map","","China--Maps|~|中國--地圖","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdskk%2Fqg33gm5j","Base Map of China","G7820_A1_OSS_EDProv_SHEET1|~|Monograph_Maps","10 AUGUST 1945","1945-08-10","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","","China","中國底圖","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdskk/manifest"
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hdsm3","ark:/21198/zz002hc63p","10","Completed with minimal metadata","Work","","412","","","pd","","","cartographic","map","","China--Maps|~|中國--地圖","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdsm3%2Fpb02xh6g","Base Map of China","G7821_A1_OSS_1945_Large_EDProv_SHEET1|~|Monograph_Maps","10 AUGUST 1945","1945-08-10","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","","China","中國底圖","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdsm3/manifest"
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hdsnm","ark:/21198/zz002hc63p","10","Completed with minimal metadata","Work","","413","","","unknown","unknown","eng","cartographic","map","","China--Maps|~|中國--地圖","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdsnm%2Fpn71bb7t","Base Map of China","G7821_A1_OSS_1945_Small_EDProv_SHEET1|~|Monograph_Maps","10 AUGUST 1945","1945-08-10","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","","China","中國底圖","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdsnm/manifest"
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hdtf0","ark:/21198/zz002hc63p","10","Completed with minimal metadata","Work","","436","","","pd_usfed","","eng","cartographic","map","Coast--China--Maps.|~|海岸--中國--地圖","China--Maps|~|中國--地圖","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdtf0%2Fp4398694","The China Coast","G7822_9.5M_CNS_1945_A|~|Monograph_Maps","","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","","China","中國海岸","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdtf0/manifest"
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hdvhh","ark:/21198/zz002hc63p","2","Completed","Work","","467","","","unknown","unknown","eng","cartographic","map","Shanghai (China)--Maps|~|上海 (中國)--地圖","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdvhh%2Fmh35pv1w","Plan of Shanghai","G7824_15.8_AMS_1945_ED1_SHEET1|~|Monograph_Maps","1945","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","Army Map Service","2 col. maps. 63 x 81-99 cm.","Washington|~|dcu","AMS 1.|~|""Heliographed at O.S. from the drawings of the 1933 municipal plan, and printed at O.S., 1937.""|~|Most streets and many buildings are named.|~|Military grid.|~|[U.S. Army Map Service. A.M.S. L901].|~|Scale 1:15,840; 4 inches to 1 mile.|~|Marginal diagram: Index to sheets.|~|1st ed.","Shanghai (China)","上海全圖","","map48000254","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdvhh/manifest"
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hdwmj","ark:/21198/zz002hc63p","2","Completed","Work","","","","","","","eng","cartographic","map|~|Topographic maps.","Ryukyu Islands--Maps|~|Volcano Islands (Japan)--Maps|~|Japan--Maps|~|Bonin Islands (Japan)--Maps","","United States. Army Map Service.","","westernmost:E1220000|~|northernmost:N0280000|~|westernmost:E1400000|~|southernmost:N0240000|~|easternmost:E1320000|~|easternmost:E1430000|~|northernmost:N0310000","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hg186","Southern Japan 1:250,000","","1943-","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","Army Map Service","maps : col. ; 45 x 41 cm. or smaller.","dcu|~|Washington, D.C","Four classes of roads, two types of internal boundaries, and five classes of railroads are shown.|~|""A.M.S. L591.""|~|Complete in 17 sheets. Set includes various issues of sheets covering the islands lying between Kyūshū and Formosa.|~|Issued in 1° quadrangles.|~|Co-ordinated for use with the following sets covering adjoining areas: Central Japan 1:250,000 (A.M.S. L571) and Formosa (Taiwan) 1:250,000 (A.M.S. L593).|~|Marginal maps: Index to boundaries -- Index to adjoining sheets.|~|Includes ""Glossary.""|~|Index to place names on these maps issued by Army Map Service under title: Gazetteer to maps of Japan.|~|Military grid.|~|cp|~|Relief represented by contours.|~|Each sheet includes ""Glossary.""|~|""All place names transcribed according to the modified Hepburn (Romaji) system.""|~|Complete in 5 sheets. Set includes various issues of some sheets.|~|Marginal maps: Index to boundaries.--Index to adjoining sheets.","Ryukyu Islands|~|Bonin Islands (Japan)|~|Volcano Islands (Japan)|~|250000","","[Series] W511|~|[Series] L561|~|Interactive guide to map holdings - http://arcg.is/1QKnpk2","map48000241|~|map48000131","","https://arcg.is/LH9rf","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdwmj/manifest"
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hf29r","ark:/21198/zz002hc63p","10","Completed with minimal metadata","Work","","633","","","pd","","eng","cartographic","map","China--Maps|~|中國--地圖","China--Maps|~|中國--地圖","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","southernmost:N0160000|~|northernmost:N0520000|~|easternmost:E1560000|~|westernmost:E00680000","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf29r%2F6v817n8v","Base map of China","G7801_A1_5_7M_OSS_1945_EDProv_SHEET1|~|Monograph_Maps","[1945]|~|10 August 1945","1945-08-10","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","Lithographed in the Reproduction Branch, OSS","1 map on 2 sheets ; 75 x 118 cm, sheets 83 x 86 cm.","[Washington, D.C.]|~|dcu","Provisional ed. 10 August 1945|~|""Free"".|~|""No. 8166"".|~|""10 August 1945"".|~|Includes names of major cities.|~|cu|~|Provisional ed.","China|~|5700000","中國底圖","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hf29r/manifest"
