File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Text direction,Parent ARK,Item ARK,Object Type,Rights.statementLocal
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_001.tif,1,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_002.tif,2,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_003.tif,3,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_004.tif,4,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_005.tif,5,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_006.tif,6,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_007.tif,7,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_008.tif,8,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_009.tif,9,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_010.tif,10,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_011.tif,11,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_012.tif,12,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_013.tif,13,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_014.tif,14,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_015.tif,15,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_016.tif,16,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_017.tif,17,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_018.tif,18,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_019.tif,19,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_020.tif,20,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_021.tif,21,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_022.tif,22,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_023.tif,23,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_024.tif,24,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol09/uclaeal_wahon_B03_bib1782231_vol09_025.tif,25,,,,,,,,Page,
