File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Text direction,Parent ARK,Item ARK,Object Type,Rights.statementLocal
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_001.tif,1,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_002.tif,2,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_003.tif,3,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_004.tif,4,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_005.tif,5,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_006.tif,6,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_007.tif,7,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_008.tif,8,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_009.tif,9,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_010.tif,10,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_011.tif,11,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_012.tif,12,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_013.tif,13,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_014.tif,14,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_015.tif,15,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_016.tif,16,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_017.tif,17,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_018.tif,18,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_019.tif,19,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_020.tif,20,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_021.tif,21,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_022.tif,22,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_023.tif,23,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_024.tif,24,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_025.tif,25,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_026.tif,26,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_027.tif,27,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_028.tif,28,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_029.tif,29,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_030.tif,30,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_031.tif,31,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_032.tif,32,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_033.tif,33,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B03_bib1782231_vol05/uclaeal_wahon_B03_bib1782231_vol05_034.tif,34,,,,,,,,Page,
