File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Text direction,Parent ARK,Item ARK,Object Type,Rights.statementLocal
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_001.tif,1,,Front cover,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/sw43zc5x,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_002.tif,2,,Page spread 1,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/h008p740,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_003.tif,3,,Page spread 2,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/hq11sf52,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_004.tif,4,,Page spread 3,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/pp08t512,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_005.tif,5,,Page spread 4,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/r561km34,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_006.tif,6,,Page spread 5,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/m130cp0d,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_007.tif,7,,Page spread 6,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/t782tc9s,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_008.tif,8,,Page spread 7,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/sp936f14,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_009.tif,9,,Page spread 8,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/sm13n143,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_010.tif,10,,Page spread 9,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/cp48h463,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_011.tif,11,,Page spread 10,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/nr369p11,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_012.tif,12,,Page spread 11,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/rr78jz2d,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_013.tif,13,,Page spread 12,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/dx14801w,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_014.tif,14,,Page spread 13,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/zb31w08j,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_015.tif,15,,Page spread 14,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/zq12hq98,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_016.tif,16,,Page spread 15,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/5c072v0v,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_017.tif,17,,Page spread 16,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/rf63pv27,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_018.tif,18,,Page spread 17,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/z361dk5q,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_019.tif,19,,Page spread 18,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/k366wj5c,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_020.tif,20,,Page spread 19,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/m8574s4q,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_021.tif,21,,Page spread 20,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/kw38b18z,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_022.tif,22,,Page spread 21,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/b6006w3s,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_023.tif,23,,Page spread 22,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/s771nv2w,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_024.tif,24,,Page spread 23,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/wc64p29k,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_025.tif,25,,Page spread 24,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/ck25d84d,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_026.tif,26,,Page spread 25,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/bd72978m,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_027.tif,27,,Page spread 26,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/pv76649b,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_028.tif,28,,Page spread 27,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/sm345887,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_029.tif,29,,Page spread 28,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/6322kf8x,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_030.tif,30,,Page spread 29,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/wk08jp29,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_031.tif,31,,Page spread 30,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/s443cg78,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_032.tif,32,,Page spread 31,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/9061d66n,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_033.tif,33,,Page spread 32,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/bj85m03b,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_034.tif,34,,Page spread 33,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/sm99jb61,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_035.tif,35,,Page spread 34,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/zf11hg76,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_036.tif,36,,Page spread 35,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/sc574f15,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B01_bib2997886_vol05/uclaeal_wahon_B01_bib2997886_vol05_037.tif,37,,Back cover,,,,ark:/21198/z10k3qpj,ark:/21198/z10k3qpj/h882m226,Page,
