"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Subject","Type.genre","Name.repository","Name.author","Name.attributedTo","Name.translator","Name.commentator","Name.scribe","Name.creator","Name.compiler","Name.annotator","Language.language","Language.script","Name.calligrapher","Alternate Identifier.local","Title","Relation.rectoVerso","Source","Date.creation","Format.dimensions","Alternate Title.other","Description.abstract","Description.microfilm","Description.citation","Alternate Title.scriptArab","Description.physical","Relation.textDirection","Date.normalized","Description.note","Format.extent","Relation","Description.stamp","Relation.citation","Alternate Title.spine","Description.marks","Description.colophon","thumbnailImageName","masterImageName","Description.tableOfContents","JSON","Metadata Only","Conceptual Work","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpng","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0001.tif","1","","","","","","","pd","","","","","","","","","","","","","","","1147_1391_0001","page 2","r","","","","","","","","","","","","","","","","","","","","1147_1391_0001.jpg","1391_0001.tif","","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014kpng"", ""Parent ARK"": ""ark:/21198/zz000wq4n8"", ""Item Status ID"": ""7"", ""Item Status"": ""Needs Review"", ""Object Type"": ""ChildWork"", ""File Name"": ""minasian/masters/1391/1391_0001.tif"", ""Item Sequence"": ""1"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Name.author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_1391_0001"", ""Title"": ""page 2"", ""Relation.rectoVerso"": ""r"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_1391_0001.jpg"", ""masterImageName"": ""1391_0001.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpng",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpp0","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0002.tif","2","","","","","","","pd","","","","","","","","","","","","","","","1147_1391_0002","page 1","v","","","","","","","","","","","","","","","","","","","","1147_1391_0002.jpg","1391_0002.tif","","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014kpp0"", ""Parent ARK"": ""ark:/21198/zz000wq4n8"", ""Item Status ID"": ""7"", ""Item Status"": ""Needs Review"", ""Object Type"": ""ChildWork"", ""File Name"": ""minasian/masters/1391/1391_0002.tif"", ""Item Sequence"": ""2"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Name.author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_1391_0002"", ""Title"": ""page 1"", ""Relation.rectoVerso"": ""v"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_1391_0002.jpg"", ""masterImageName"": ""1391_0002.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpp0",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpqh","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0003.tif","3","","","","","","","pd","","","","","","","","","","","","","","","1147_1391_0003","page 4","r","","","","","","","","","","","","","","","","","","","","1147_1391_0003.jpg","1391_0003.tif","","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014kpqh"", ""Parent ARK"": ""ark:/21198/zz000wq4n8"", ""Item Status ID"": ""7"", ""Item Status"": ""Needs Review"", ""Object Type"": ""ChildWork"", ""File Name"": ""minasian/masters/1391/1391_0003.tif"", ""Item Sequence"": ""3"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Name.author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_1391_0003"", ""Title"": ""page 4"", ""Relation.rectoVerso"": ""r"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_1391_0003.jpg"", ""masterImageName"": ""1391_0003.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpqh",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpr1","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0004.tif","4","","","","","","","pd","","","","","","","","","","","","","","","1147_1391_0004","page 3","v","","","","","","","","","","","","","","","","","","","","1147_1391_0004.jpg","1391_0004.tif","","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014kpr1"", ""Parent ARK"": ""ark:/21198/zz000wq4n8"", ""Item Status ID"": ""7"", ""Item Status"": ""Needs Review"", ""Object Type"": ""ChildWork"", ""File Name"": ""minasian/masters/1391/1391_0004.tif"", ""Item Sequence"": ""4"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Name.author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_1391_0004"", ""Title"": ""page 3"", ""Relation.rectoVerso"": ""v"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_1391_0004.jpg"", ""masterImageName"": ""1391_0004.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpr1",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpsj","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0005.tif","5","","","","","","","pd","","","","","","","","","","","","","","","1147_1391_0005","page 6","r","","","","","","","","","","","","","","","","","","","","1147_1391_0005.jpg","1391_0005.tif","","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014kpsj"", ""Parent ARK"": ""ark:/21198/zz000wq4n8"", ""Item Status ID"": ""7"", ""Item Status"": ""Needs Review"", ""Object Type"": ""ChildWork"", ""File Name"": ""minasian/masters/1391/1391_0005.tif"", ""Item Sequence"": ""5"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Name.author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_1391_0005"", ""Title"": ""page 6"", ""Relation.rectoVerso"": ""r"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_1391_0005.jpg"", ""masterImageName"": ""1391_0005.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpsj",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpt2","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0006.tif","6","","","","","","","pd","","","","","","","","","","","","","","","1147_1391_0006","page 5","v","","","","","","","","","","","","","","","","","","","","1147_1391_0006.jpg","1391_0006.tif","","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014kpt2"", ""Parent ARK"": ""ark:/21198/zz000wq4n8"", ""Item Status ID"": ""7"", ""Item Status"": ""Needs Review"", ""Object Type"": ""ChildWork"", ""File Name"": ""minasian/masters/1391/1391_0006.tif"", ""Item Sequence"": ""6"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Name.author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_1391_0006"", ""Title"": ""page 5"", ""Relation.rectoVerso"": ""v"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_1391_0006.jpg"", ""masterImageName"": ""1391_0006.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpt2",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpvk","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0007.tif","7","","","","","","","pd","","","","","","","","","","","","","","","1147_1391_0007","page 8","r","","","","","","","","","","","","","","","","","","","","1147_1391_0007.jpg","1391_0007.tif","","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014kpvk"", ""Parent ARK"": ""ark:/21198/zz000wq4n8"", ""Item Status ID"": ""7"", ""Item Status"": ""Needs Review"", ""Object Type"": ""ChildWork"", ""File Name"": ""minasian/masters/1391/1391_0007.tif"", ""Item Sequence"": ""7"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Name.author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_1391_0007"", ""Title"": ""page 8"", ""Relation.rectoVerso"": ""r"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_1391_0007.jpg"", ""masterImageName"": ""1391_0007.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpvk",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpw3","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0008.tif","8","","","","","","","pd","","","","","","","","","","","","","","","1147_1391_0008","page 7","v","","","","","","","","","","","","","","","","","","","","1147_1391_0008.jpg","1391_0008.tif","","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014kpw3"", ""Parent ARK"": ""ark:/21198/zz000wq4n8"", ""Item Status ID"": ""7"", ""Item Status"": ""Needs Review"", ""Object Type"": ""ChildWork"", ""File Name"": ""minasian/masters/1391/1391_0008.tif"", ""Item Sequence"": ""8"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Name.author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_1391_0008"", ""Title"": ""page 7"", ""Relation.rectoVerso"": ""v"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_1391_0008.jpg"", ""masterImageName"": ""1391_0008.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpw3",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpxm","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0009.tif","9","","","","","","","pd","","","","","","","","","","","","","","","1147_1391_0009","page 10","r","","","","","","","","","","","","","","","","","","","","1147_1391_0009.jpg","1391_0009.tif","","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014kpxm"", ""Parent ARK"": ""ark:/21198/zz000wq4n8"", ""Item Status ID"": ""7"", ""Item Status"": ""Needs Review"", ""Object Type"": ""ChildWork"", ""File Name"": ""minasian/masters/1391/1391_0009.tif"", ""Item Sequence"": ""9"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Name.author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_1391_0009"", ""Title"": ""page 10"", ""Relation.rectoVerso"": ""r"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_1391_0009.jpg"", ""masterImageName"": ""1391_0009.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpxm",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpz4","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0010.tif","10","","","","","","","pd","","","","","","","","","","","","","","","1147_1391_0010","page 9","v","","","","","","","","","","","","","","","","","","","","1147_1391_0010.jpg","1391_0010.tif","","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014kpz4"", ""Parent ARK"": ""ark:/21198/zz000wq4n8"", ""Item Status ID"": ""7"", ""Item Status"": ""Needs Review"", ""Object Type"": ""ChildWork"", ""File Name"": ""minasian/masters/1391/1391_0010.tif"", ""Item Sequence"": ""10"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Name.author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_1391_0010"", ""Title"": ""page 9"", ""Relation.rectoVerso"": ""v"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_1391_0010.jpg"", ""masterImageName"": ""1391_0010.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpz4",""
