Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz0019psz0,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019psz0_733068_master.tif,1,,,,,,,,,,,,,,,,Front cover,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001nwq0c,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz001nwq0c_1453065_master.tif,2,,,,,,,,,,,,,,,,Inside front cover (missing),,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019psqc,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019psqc_732501_master.tif,3,,,,,,,,,,,,,,,,f. 1r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019psrw,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019psrw_733036_master.tif,4,,,,,,,,,,,,,,,,f. 1v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019pssd,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019pssd_733041_master.tif,5,,,,,,,,,,,,,,,,f. 2r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019pstx,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019pstx_733047_master.tif,6,,,,,,,,,,,,,,,,f. 2v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019psvf,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019psvf_733054_master.tif,7,,,,,,,,,,,,,,,,f. 3r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019pswz,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019pswz_733060_master.tif,8,,,,,,,,,,,,,,,,f. 3v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019psxg,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019psxg_733065_master.tif,9,,,,,,,,,,,,,,,,f. 4r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019pt1h,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019pt1h_733071_master.tif,10,,,,,,,,,,,,,,,,f. 4v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019pt3j,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019pt3j_733074_master.tif,11,,,,,,,,,,,,,,,,f. 5r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019pt5k,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019pt5k_733077_master.tif,12,,,,,,,,,,,,,,,,f. 5v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019pt63,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019pt63_733080_master.tif,13,,,,,,,,,,,,,,,,f. 6r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019pt84,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019pt84_733083_master.tif,14,,,,,,,,,,,,,,,,f. 6v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019ptb5,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019ptb5_733086_master.tif,15,,,,,,,,,,,,,,,,f. 7r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019ptcp,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019ptcp_733089_master.tif,16,,,,,,,,,,,,,,,,f. 7v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019ptd6,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019ptd6_733092_master.tif,17,,,,,,,,,,,,,,,,f. 8r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019ptfq,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019ptfq_733095_master.tif,18,,,,,,,,,,,,,,,,f. 8v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019ptg7,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019ptg7_733098_master.tif,19,,,,,,,,,,,,,,,,f. 9r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019pthr,ark:/21198/zz0018040z,2,Completed,Page,StGall/masters/karlsruhe_074/21198-zz0019pthr_733101_master.tif,20,,,,,,,,,,,,,,,,f. 9v,v,,,,,,,,,,
