Project Name,Item ARK,Parent ARK,Object Type,File Name,Item Sequence,Type.typeOfResource,Title,Alt ID.local,Bucketeer State,IIIF Access URL
Sachtleben (William Lewis) Papers. Collection 1843,ark:/21198/zz002hjtnw,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_01.tif,1,text,[Athens travel diary: front cover],uclamss_1841_diary_07_01,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjtnw
Sachtleben (William Lewis) Papers. Collection 1844,ark:/21198/zz002hjtpd,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_02.tif,2,text,"[Athens travel diary: pages 1-2, Jan. 3, 1891]",uclamss_1841_diary_07_02,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjtpd
Sachtleben (William Lewis) Papers. Collection 1845,ark:/21198/zz002hjtqx,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_03.tif,3,text,"[Athens travel diary: pages 3-4, Jan. 3-4, 1891]",uclamss_1841_diary_07_03,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjtqx
Sachtleben (William Lewis) Papers. Collection 1846,ark:/21198/zz002hjtrf,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_04.tif,4,text,"[Athens travel diary: pages 5-6, Jan. 4, 1891]",uclamss_1841_diary_07_04,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjtrf
Sachtleben (William Lewis) Papers. Collection 1847,ark:/21198/zz002hjtsz,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_05.tif,5,text,"[Athens travel diary: pages 7-8, Jan. 4-5, 1891]",uclamss_1841_diary_07_05,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjtsz
Sachtleben (William Lewis) Papers. Collection 1848,ark:/21198/zz002hjttg,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_06.tif,6,text,"[Athens travel diary: pages 9-10, Jan. 5-6, 1891]",uclamss_1841_diary_07_06,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjttg
Sachtleben (William Lewis) Papers. Collection 1849,ark:/21198/zz002hjtv0,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_07.tif,7,text,"[Athens travel diary: pages 11-12, Jan. 7-8, 1891]",uclamss_1841_diary_07_07,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjtv0
Sachtleben (William Lewis) Papers. Collection 1850,ark:/21198/zz002hjtwh,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_08.tif,8,text,"[Athens travel diary: pages 13-14, Jan. 8, 1891]",uclamss_1841_diary_07_08,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjtwh
Sachtleben (William Lewis) Papers. Collection 1851,ark:/21198/zz002hjtx1,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_09.tif,9,text,"[Athens travel diary: pages 15-16, Jan. 8, 1891]",uclamss_1841_diary_07_09,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjtx1
Sachtleben (William Lewis) Papers. Collection 1852,ark:/21198/zz002hjtzj,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_10.tif,10,text,"[Athens travel diary: pages 17-18, Jan. 8-9, 1891]",uclamss_1841_diary_07_10,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjtzj
Sachtleben (William Lewis) Papers. Collection 1853,ark:/21198/zz002hjv0j,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_11.tif,11,text,"[Athens travel diary: pages 19-20, Jan. 9, 1891]",uclamss_1841_diary_07_11,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv0j
Sachtleben (William Lewis) Papers. Collection 1854,ark:/21198/zz002hjv12,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_12.tif,12,text,"[Athens travel diary: pages 21-22, Jan. 9, 1891]",uclamss_1841_diary_07_12,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv12
Sachtleben (William Lewis) Papers. Collection 1855,ark:/21198/zz002hjv2k,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_13.tif,13,text,"[Athens travel diary: pages 23-24, Jan. 10, 1891]",uclamss_1841_diary_07_13,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv2k
Sachtleben (William Lewis) Papers. Collection 1856,ark:/21198/zz002hjv33,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_14.tif,14,text,"[Athens travel diary: pages 25-26, Jan. 10, 1891]",uclamss_1841_diary_07_14,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv33
Sachtleben (William Lewis) Papers. Collection 1857,ark:/21198/zz002hjv4m,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_15.tif,15,text,"[Athens travel diary: pages 47-48, Jan. 10, 1891]",uclamss_1841_diary_07_15,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv4m
Sachtleben (William Lewis) Papers. Collection 1858,ark:/21198/zz002hjv54,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_16.tif,16,text,"[Athens travel diary: pages 49-50, Jan. 10, 1891]",uclamss_1841_diary_07_16,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv54
Sachtleben (William Lewis) Papers. Collection 1859,ark:/21198/zz002hjv6n,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_17.tif,17,text,"[Athens travel diary: pages 51-52, Jan. 11, 1891]",uclamss_1841_diary_07_17,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv6n
Sachtleben (William Lewis) Papers. Collection 1860,ark:/21198/zz002hjv75,ark:/21198/zz002hjqvj,ChildWork,sachtleben_diaries/image/uclamss_1841_diary_07_18.tif,18,text,"[Athens travel diary: pages 53-54, Jan. 11-12, 1891]",uclamss_1841_diary_07_18,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv75
