Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.actor,Name.director,Name.subject,Name.producer,Name.photographer,Name.costumeDesigner,Name.distributor,Subject.descriptiveTopic,Subject.uniformTitle,Language,Name.repository,Name.cinematographer,Subject,Subject.geographicPlace,Name.artDirector,Name.setDesigner,Alt ID.local,Format.extent,Format.dimensions,Title,Date.normalized,Description.caption,Date.creation,Description.note,AltTitle.other,AltTitle.uniform,Description.abstract,Bucketeer State,IIIF Access URL
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkbtf,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nkbtf-1-master.tif,19,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,Double Dynamite (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 728_ 13_ 19,1 photograph : b&w,8 x 10 in.,DOUBLE DYNAMITE,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqd0,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001nmqd0-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,"Hope, Bob, $d 1903-2003|~|Lorre, Peter","Nugent, Elliott, $d 1896-1980",,"Hope Enterprises, Inc.|~|Dare, Daniel, 1905-1996",,,Paramount Pictures Corporation,,My Favorite Brunette (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 641_ 12_ 8,1 photograph : b&w,8 x 10 in.,Bob Hope and Peter Lorre in My Favorite Brunette,1946-7-15/1946-9,,[between 15 July 1946 and mid-Sep 1946],,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmx6s,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmx6s-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"Naked City, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 491_ 9_ 4,1 photograph : b&w,8 x 10 in.,"NAKED CITY, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmxt3,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmxt3-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 1,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmxvm,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmxvm-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 10,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmxw4,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmxw4-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 11,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmxxn,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmxxn-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 12,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmxz5,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmxz5-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 13,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmz05,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmz05-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 14,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmz1p,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmz1p-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 15,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
