Project Name,Item ARK,Parent ARK,Object Type,File Name,Item Sequence,viewingHint,Type.typeOfResource,Rights.copyrightStatus,Subject,Rights.servicesContact,Name.repository,Language,Title,Relation.pageNumber,Description.note,Summary,Relation.isPartOf,AltIdentifier.OPAC,AltIdentifier.oclc,AltIdentifier.callNo,Date.publication,Format.dimensions,Publisher.publisherName,Format.extent,Date.normalized,Publisher.placeOfOrigin
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz00022683,ark:/21198/z14f2v0q,Work,,,facing-pages,text,pd,"Diet, Vegetarian|~|Meat|~|Blood in the Bible","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,A Dissertation on the Voluntary Eating of Blood,,"Marbled wrappers.|~|Pages 33-98 misnumbered 35-100.|~|""I. That it is not inconsistent with the external rules of natural justice and order, that God should impose an arbitrary, or positive law on mankind. II. That the human food at first was only the produce of the earth, with a reservation of one sort of fruit, and this interdiction immutable till the Deluge. III. That though a licence (from that Revelation) is granted for men to feed on the flesh of animals, it is under another restriction of the same kind with the former, probably immutable likewise to the second race of man, and the reasonableness of it being so.""",An 18th-century justification of the eating of meat.,"Franklin E. Murphy, M.D. Collection",4745960,51090807,Rare WZ 260 D626 1745,1745,18 cm.,"Printed for M. Cooper, at the Globe in Paternoster Row","[2], 100 (i.e. 98) p.",1745,London
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226cn,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226cn-1-master.tif,0,,text,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4989","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (title page),1,,,,,,,,,,,,
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226fp,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226fp-1-master.tif,1,,text,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4990","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (page 1),1,,,,,,,,,,,,
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226d5,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226d5-1-master.tif,2,,text,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4991","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 2-3),3|~|2,,,,,,,,,,,,
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226b4,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226b4-1-master.tif,3,,text,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4992","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 4-5),4|~|5,,,,,,,,,,,,
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz0002269m,ark:/21198/zz00022683,Page,blood/masters/21198-zz0002269m-1-master.tif,4,,text,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4993","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 6-7),7|~|6,,,,,,,,,,,,
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226m8,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226m8-1-master.tif,5,,text,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4994","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 8-9),8|~|9,,,,,,,,,,,,
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226kr,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226kr-1-master.tif,6,,text,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4995","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 10-11),10|~|11,,,,,,,,,,,,
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226j7,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226j7-1-master.tif,7,,text,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4996","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 12-13),12|~|13,,,,,,,,,,,,
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226hq,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226hq-1-master.tif,8,,text,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4997","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 14-15),14|~|15,,,,,,,,,,,,
