"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Title","Description.note","Format.dimensions","Format.medium","masterImageName","Bucketeer State","IIIF Access URL"
"Palmer Family Papers. Collection 515","ark:/21198/zz000sbx4f","","2","Completed","Collection","","","","","","Palmer Family Papers","","","","","succeeded",
"Palmer Family Papers. Collection 515","ark:/21198/zz000sk4zw","ark:/21198/zz000sbx4f","2","Completed","Work","palmer/masters/21198-zz000sk4zw-1-master.tif","1","","","still image","673","Irrigation works","4 in x 5 in","glass plate","21198-zz000sk4zw-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sk4zw"
"Palmer Family Papers. Collection 515","ark:/21198/zz000sk50w","ark:/21198/zz000sbx4f","2","Completed","Work","palmer/masters/21198-zz000sk50w-1-master.tif","2","","","still image","683","irrigation works -- pipes and buckets","4 in x 5 in","glass plate","21198-zz000sk50w-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sk50w"
"Palmer Family Papers. Collection 515","ark:/21198/zz000sk51d","ark:/21198/zz000sbx4f","2","Completed","Work","palmer/masters/21198-zz000sk51d-1-master.tif","3","","","still image","687","tent and teepees","4 in x 5 in","glass plate","21198-zz000sk51d-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sk51d"
"Palmer Family Papers. Collection 515","ark:/21198/zz000sk52x","ark:/21198/zz000sbx4f","2","Completed","Work","palmer/masters/21198-zz000sk52x-1-master.tif","4","","","still image","688","man standing at opening of teepee; cabin in background","4 in x 5 in","glass plate","21198-zz000sk52x-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sk52x"
"Palmer Family Papers. Collection 515","ark:/21198/zz000sk53f","ark:/21198/zz000sbx4f","2","Completed","Work","palmer/masters/21198-zz000sk53f-1-master.tif","5","","","still image","689","Teepees and tents","4 in x 5 in","glass plate","21198-zz000sk53f-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sk53f"
"Palmer Family Papers. Collection 515","ark:/21198/zz000sk54z","ark:/21198/zz000sbx4f","2","Completed","Work","palmer/masters/21198-zz000sk54z-1-master.tif","6","","","still image","693","bridge","4 in x 5 in","glass plate","21198-zz000sk54z-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sk54z"
"Palmer Family Papers. Collection 515","ark:/21198/zz000sk55g","ark:/21198/zz000sbx4f","2","Completed","Work","palmer/masters/21198-zz000sk55g-1-master.tif","7","","","still image","694","irrigation works","4 in x 5 in","glass plate","21198-zz000sk55g-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sk55g"
"Palmer Family Papers. Collection 515","ark:/21198/zz000sk560","ark:/21198/zz000sbx4f","2","Completed","Work","palmer/masters/21198-zz000sk560-1-master.tif","8","","","still image","700","snow covered road, houses/buildings, dog in foreground","4 in x 5 in","glass plate","21198-zz000sk560-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sk560"
"Palmer Family Papers. Collection 515","ark:/21198/zz000sk57h","ark:/21198/zz000sbx4f","2","Completed","Work","palmer/masters/21198-zz000sk57h-1-master.tif","9","","","still image","701","snow covered hillside, men with sledgehammers","4 in x 5 in","glass plate","21198-zz000sk57h-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sk57h"
"Palmer Family Papers. Collection 515","ark:/21198/zz000sk581","ark:/21198/zz000sbx4f","2","Completed","Work","palmer/masters/21198-zz000sk581-1-master.tif","10","","","still image","702","men on horseback","4 in x 5 in","glass plate","21198-zz000sk581-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sk581"
"Palmer Family Papers. Collection 515","ark:/21198/zz000sk59j","ark:/21198/zz000sbx4f","2","Completed","Work","palmer/masters/21198-zz000sk59j-1-master.tif","11","","","still image","703","irrigation works","4 in x 5 in","glass plate","21198-zz000sk59j-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sk59j"
"Palmer Family Papers. Collection 515","ark:/21198/zz000sk5b2","ark:/21198/zz000sbx4f","2","Completed","Work","palmer/masters/21198-zz000sk5b2-1-master.tif","12","","","still image","706","irrigation works; men on horseback in water-filled ditch","4 in x 5 in","glass plate","21198-zz000sk5b2-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sk5b2"
