Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Name.correspondent,Name.creator,Title,Alt ID.local,Relation.isPartOf,AltTitle.creator,AltTitle.descriptive,Date.creation,Alt ID.collection,Description.note,Publisher.placeOfOrigin,Coverage.geographic,Date.normalized,AltTitle.other,Format.medium
Minasian Collection of Armenian Materials,ark:/21198/zz002ggqdh,ark:/21198/zz002ggm2w,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_b03f17_0586a.tif,97,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 3, Folder 17, 586a",uclamss_1632_b03f17_0586a,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002ggqf1,ark:/21198/zz002ggm2w,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_b03f17_0586b.tif,98,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 3, Folder 17, 586b",uclamss_1632_b03f17_0586b,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002ggqgj,ark:/21198/zz002ggm2w,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_b03f17_0586c.tif,99,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 3, Folder 17, 586c",uclamss_1632_b03f17_0586c,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002ggqh2,ark:/21198/zz002ggm2w,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_b03f17_0586d.tif,100,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 3, Folder 17, 586d",uclamss_1632_b03f17_0586d,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002ggqjk,ark:/21198/zz002ggm2w,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_b03f17_0586e.tif,101,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 3, Folder 17, 586e",uclamss_1632_b03f17_0586e,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002ggqk3,ark:/21198/zz002ggm2w,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_b03f17_0586f.tif,102,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 3, Folder 17, 586f",uclamss_1632_b03f17_0586f,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002ggqmm,ark:/21198/zz002ggm2w,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_b03f17_0586g.tif,103,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 3, Folder 17, 586g",uclamss_1632_b03f17_0586g,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002ggqn4,ark:/21198/zz002ggm2w,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_b03f17_0586h.tif,104,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 3, Folder 17, 586h",uclamss_1632_b03f17_0586h,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002ggqpn,ark:/21198/zz002ggm2w,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_b03f17_0586i.tif,105,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 3, Folder 17, 586i",uclamss_1632_b03f17_0586i,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002ggqq5,ark:/21198/zz002ggm2w,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_b03f17_0586j.tif,106,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 3, Folder 17, 586j",uclamss_1632_b03f17_0586j,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002ggqrp,ark:/21198/zz002ggm2w,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_b03f17_0586k.tif,107,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 3, Folder 17, 586k",uclamss_1632_b03f17_0586k,,,,,,,,,,,
